               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10302,            0.024676,            0.072252,                   0,                   0,                   0,                   0,            0.067627,           0.0091699,            0.070793,                 0.1,                   0,                   0
                   1,             0.10337,            0.022579,            0.071682,                   0,                   0,                   0,                   0,             0.06763,           0.0091699,            0.070793,              0.0991,              0.0001,              0.0001
                   2,             0.10148,            0.023033,            0.072089,                   0,                   0,                   0,                   0,            0.071755,           0.0086938,            0.070724,              0.0982,              0.0002,              0.0002
                   3,            0.092853,            0.028506,             0.07223,                   0,                   0,                   0,                   0,            0.087908,           0.0068665,            0.070724,              0.0973,              0.0003,              0.0003
                   4,            0.086645,            0.030724,            0.072172,                   0,                   0,                   0,                   0,            0.097049,           0.0058228,            0.070724,              0.0964,              0.0004,              0.0004
                   5,            0.088407,            0.032771,            0.072284,                   0,                   0,                   0,                   0,             0.10057,           0.0053943,            0.070724,              0.0955,              0.0005,              0.0005
                   6,            0.087261,            0.029993,            0.072291,                   0,                   0,                   0,                   0,            0.095315,           0.0059106,            0.070587,              0.0946,              0.0006,              0.0006
                   7,            0.086374,            0.031069,            0.072161,                   0,                   0,                   0,                   0,            0.095284,           0.0059143,            0.070587,              0.0937,              0.0007,              0.0007
                   8,             0.08516,             0.03293,            0.072022,                   0,                   0,                   0,                   0,              0.0927,           0.0061267,            0.070587,              0.0928,          0.00079999,          0.00079999
                   9,            0.085863,            0.029159,            0.072443,                   0,                   0,                   0,                   0,            0.089449,           0.0065515,            0.070518,              0.0919,          0.00089999,          0.00089999
                  10,            0.084637,             0.03071,            0.072166,                   0,                   0,                   0,                   0,            0.087985,           0.0067749,            0.070518,               0.091,          0.00099999,          0.00099999
                  11,            0.084591,             0.02934,            0.072251,                   0,                   0,                   0,                   0,             0.08764,           0.0067126,             0.07045,              0.0901,              0.0011,              0.0011
                  12,            0.081946,            0.028454,            0.072232,                   0,                   0,                   0,                   0,            0.081768,           0.0073462,            0.070381,              0.0892,              0.0012,              0.0012
                  13,            0.083592,            0.030889,            0.071102,                   0,                   0,                   0,                   0,            0.093003,           0.0061121,            0.070381,              0.0883,              0.0013,              0.0013
                  14,            0.082285,            0.030465,            0.071578,                   0,                   0,                   0,                   0,            0.092731,           0.0060352,            0.070312,              0.0874,              0.0014,              0.0014
                  15,            0.081688,            0.029215,            0.071085,                   0,                   0,                   0,                   0,            0.089026,           0.0062622,            0.070244,              0.0865,              0.0015,              0.0015
                  16,            0.080803,            0.029591,            0.071067,                   0,                   0,                   0,                   0,            0.095455,           0.0055334,            0.070175,              0.0856,              0.0016,              0.0016
                  17,            0.080678,            0.029722,            0.070861,                   0,                   0,                   0,                   0,             0.08927,           0.0059692,            0.070141,              0.0847,              0.0017,              0.0017
                  18,            0.079888,            0.029278,            0.070443,                   0,                   0,                   0,                   0,            0.094688,           0.0053503,            0.070038,              0.0838,           0.0017999,           0.0017999
                  19,            0.079215,            0.029819,            0.070523,                   0,                   0,                   0,                   0,            0.095643,           0.0054346,            0.070004,              0.0829,           0.0018999,           0.0018999
                  20,            0.079412,            0.028233,            0.070626,                   0,                   0,                   0,                   0,             0.09166,           0.0057861,            0.069969,               0.082,           0.0019999,           0.0019999
                  21,            0.078655,            0.026943,            0.069983,                   0,                   0,                   0,                   0,            0.090426,           0.0057312,            0.069832,              0.0811,           0.0020999,           0.0020999
                  22,            0.078326,            0.027839,            0.070129,                   0,                   0,                   0,                   0,            0.094637,           0.0055664,            0.069832,              0.0802,           0.0021999,           0.0021999
                  23,            0.078425,            0.025092,            0.070153,                   0,                   0,                   0,                   0,            0.092422,           0.0057495,            0.069798,              0.0793,           0.0022999,           0.0022999
                  24,            0.076979,            0.025639,            0.069833,                   0,                   0,                   0,                   0,            0.092511,            0.005907,            0.069729,              0.0784,           0.0023999,           0.0023999
                  25,            0.075684,            0.024863,            0.069814,                   0,                   0,                   0,                   0,            0.090444,           0.0059216,            0.069626,              0.0775,           0.0024998,           0.0024998
                  26,            0.074773,            0.025602,            0.069822,          4.8573e-06,           0.0078431,          2.9127e-06,          4.2313e-07,            0.096601,           0.0058301,            0.069557,              0.0766,           0.0025998,           0.0025998
                  27,             0.07604,             0.02498,            0.069775,          3.9236e-05,            0.041487,          3.0745e-05,          4.4519e-06,            0.087634,           0.0065552,            0.069557,              0.0757,           0.0026998,           0.0026998
                  28,            0.077184,            0.024145,            0.069468,                   0,                   0,                   0,                   0,             0.10148,           0.0057898,            0.069489,              0.0748,           0.0027998,           0.0027998
                  29,            0.076303,             0.02304,            0.069341,          0.00015605,             0.14558,          0.00021517,           3.982e-05,            0.079396,           0.0073901,            0.069489,              0.0739,           0.0028998,           0.0028998
                  30,            0.080671,            0.021421,            0.069461,                   0,                   0,                   0,                   0,             0.10106,           0.0064307,            0.069386,               0.073,           0.0029997,           0.0029997
                  31,            0.075927,            0.021581,            0.069527,          9.9027e-05,             0.10842,          0.00012501,          2.0823e-05,            0.081196,           0.0077344,            0.069351,              0.0721,           0.0030997,           0.0030997
                  32,            0.078277,            0.021786,            0.069454,                   0,                   0,                   0,                   0,              0.1011,            0.006936,            0.069386,              0.0712,           0.0031997,           0.0031997
                  33,            0.075093,            0.023363,            0.069219,          9.9977e-05,            0.096432,           9.309e-05,          1.5574e-05,            0.083997,           0.0081592,            0.069317,              0.0703,           0.0032996,           0.0032996
                  34,            0.074485,            0.021206,            0.069305,                   0,                   0,                   0,                   0,             0.10126,           0.0074231,            0.069283,              0.0694,           0.0033996,           0.0033996
                  35,            0.074133,             0.02356,            0.069055,          0.00017771,             0.17386,          0.00021095,          4.3257e-05,            0.078904,           0.0089209,            0.069248,              0.0685,           0.0034996,           0.0034996
                  36,            0.076943,            0.022173,            0.069104,          4.1152e-06,           0.0074074,          2.3231e-06,          6.7026e-07,             0.10138,           0.0079614,            0.069283,              0.0676,           0.0035995,           0.0035995
                  37,            0.073261,             0.02277,            0.069109,          0.00017745,             0.15447,          0.00026442,          4.5796e-05,             0.07956,           0.0093091,            0.069248,              0.0667,           0.0036995,           0.0036995
                  38,            0.077103,            0.022395,            0.069006,          4.1152e-06,           0.0074074,          2.3665e-06,           6.787e-07,             0.10442,           0.0081885,             0.06918,            0.065799,           0.0037995,           0.0037995
                  39,            0.075655,            0.022335,            0.069013,          0.00013849,             0.13076,          0.00013876,          2.5235e-05,            0.080969,           0.0094922,            0.069145,            0.064899,           0.0038994,           0.0038994
                  40,            0.073343,            0.023747,            0.068936,          1.2012e-05,            0.018519,          7.3086e-06,           2.033e-06,             0.10414,           0.0084814,            0.069145,            0.063999,           0.0039994,           0.0039994
                  41,            0.075575,            0.022759,            0.068926,          0.00011402,             0.10745,          0.00011139,          1.9328e-05,            0.080635,           0.0097412,            0.069111,            0.063099,           0.0040993,           0.0040993
                  42,            0.073305,            0.023019,            0.068925,          9.0535e-06,            0.014815,          5.3715e-06,          1.5256e-06,             0.10288,           0.0086572,            0.069077,            0.062199,           0.0041993,           0.0041993
                  43,            0.073523,            0.022974,            0.068916,          0.00015163,             0.13826,          0.00017022,           2.786e-05,            0.078613,           0.0098584,            0.069042,            0.061299,           0.0042992,           0.0042992
                  44,            0.073104,            0.022757,            0.069031,           9.095e-06,            0.014815,          5.5613e-06,          1.5647e-06,             0.10217,           0.0086938,            0.069111,            0.060399,           0.0043992,           0.0043992
                  45,            0.072437,             0.02343,            0.068587,          0.00018512,             0.16632,          0.00023419,          3.8024e-05,            0.079438,           0.0098071,            0.069111,            0.059499,           0.0044991,           0.0044991
                  46,            0.074363,            0.023254,            0.068898,          1.0799e-05,            0.018519,          6.6329e-06,           1.758e-06,             0.10164,           0.0087158,            0.069008,            0.058599,            0.004599,            0.004599
                  47,            0.072618,            0.023274,            0.068809,          0.00015553,             0.13826,          0.00017508,          3.0843e-05,            0.079521,           0.0097925,            0.069077,            0.057699,            0.004699,            0.004699
                  48,            0.073756,             0.02348,            0.068846,           1.051e-05,            0.018519,          6.5645e-06,          1.8561e-06,             0.10122,           0.0087158,            0.069042,            0.056799,           0.0047989,           0.0047989
                  49,            0.072444,            0.022981,             0.06857,          0.00013357,             0.12248,          0.00019811,           3.274e-05,            0.081496,            0.009646,            0.069008,            0.055899,           0.0048989,           0.0048989
                  50,            0.070881,            0.024483,            0.068692,          8.3785e-06,            0.014815,          5.3611e-06,          1.6261e-06,             0.10333,           0.0084668,            0.069008,            0.054999,           0.0049988,           0.0049988
                  51,            0.072941,            0.022382,            0.068605,          0.00011456,             0.10745,          0.00011512,          1.9986e-05,            0.083292,           0.0094263,            0.069042,            0.054099,           0.0050987,           0.0050987
                  52,             0.06955,            0.023913,            0.068513,          6.7995e-06,            0.011111,          4.0495e-06,          6.5432e-07,             0.10125,           0.0085181,            0.069008,            0.053199,           0.0051986,           0.0051986
                  53,            0.071104,            0.023315,            0.068795,          0.00015788,             0.14684,          0.00023172,          3.8428e-05,            0.080058,           0.0095581,            0.069008,            0.052299,           0.0052985,           0.0052985
                  54,            0.071412,            0.022934,            0.068583,          2.8289e-05,            0.037778,          1.8978e-05,          2.7582e-06,            0.095265,           0.0087964,            0.068974,            0.051398,           0.0053985,           0.0053985
                  55,            0.066176,            0.024274,            0.068773,          0.00016932,             0.15298,          0.00024641,          4.3969e-05,             0.07985,           0.0095581,            0.068974,            0.050498,           0.0054984,           0.0054984
                  56,            0.069802,            0.023559,            0.068412,          1.3353e-05,            0.015556,          7.7377e-06,          1.2265e-06,            0.099656,            0.008562,            0.069008,            0.049598,           0.0055983,           0.0055983
                  57,            0.070124,            0.024396,             0.06877,           0.0001525,              0.1424,          0.00022656,          3.8737e-05,            0.080593,           0.0095215,            0.068974,            0.048698,           0.0056982,           0.0056982
                  58,            0.069657,             0.02358,            0.068755,          1.4777e-05,            0.025926,          1.0118e-05,          2.4131e-06,            0.099042,           0.0085913,            0.069008,            0.047798,           0.0057981,           0.0057981
                  59,            0.069036,            0.023983,            0.068549,          0.00015696,             0.14166,           0.0002195,          3.8226e-05,            0.080205,           0.0095581,            0.068974,            0.046898,            0.005898,            0.005898
                  60,            0.068274,            0.023966,            0.068561,          1.6869e-05,             0.02963,          1.2249e-05,          2.7399e-06,            0.096563,           0.0087671,            0.068974,            0.045998,           0.0059979,           0.0059979
                  61,            0.068676,            0.024185,            0.068666,          0.00013707,             0.12248,          0.00017369,          3.0515e-05,            0.079545,           0.0096826,            0.068939,            0.045098,           0.0060978,           0.0060978
                  62,            0.067117,            0.024064,            0.068266,          1.6981e-05,            0.019259,          1.0537e-05,          2.2946e-06,            0.095372,           0.0089062,            0.068939,            0.044198,           0.0061977,           0.0061977
