               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.078721,            0.021516,            0.069449,          6.7533e-06,            0.011329,          7.3024e-06,           2.019e-06,            0.092441,            0.008335,             0.06918,              0.0667,           0.0036995,           0.0036995
                  38,            0.078558,            0.022038,            0.069321,          7.2675e-06,            0.011329,           5.865e-06,          1.5563e-06,            0.096189,           0.0083276,             0.06918,            0.065799,           0.0037995,           0.0037995
                  39,            0.078502,            0.021643,             0.06938,          1.2745e-05,            0.019172,          1.1662e-05,           2.642e-06,            0.093137,           0.0086719,            0.069145,            0.064899,           0.0038994,           0.0038994
                  40,              0.0763,            0.023063,            0.069092,           1.448e-05,            0.022876,          1.9279e-05,          4.1584e-06,            0.092862,           0.0087817,            0.069111,            0.063999,           0.0039994,           0.0039994
                  41,            0.076996,            0.022371,            0.069367,           7.019e-06,            0.011329,          6.9178e-06,          2.0915e-06,            0.094061,           0.0088403,            0.069111,            0.063099,           0.0040993,           0.0040993
                  42,            0.075598,            0.022518,            0.069214,          6.8331e-06,            0.011329,          4.9689e-06,          1.4507e-06,            0.094609,           0.0088477,            0.069111,            0.062199,           0.0041993,           0.0041993
                  43,            0.074689,            0.022691,            0.069523,          1.4181e-05,            0.022876,          1.4658e-05,          3.5145e-06,            0.091079,           0.0090894,            0.069077,            0.061299,           0.0042992,           0.0042992
                  44,            0.073002,            0.022729,            0.069155,           6.784e-06,            0.011329,          1.6562e-05,          5.8975e-06,            0.091991,            0.009126,            0.069077,            0.060399,           0.0043992,           0.0043992
                  45,            0.072595,            0.023382,            0.068996,          1.6876e-05,            0.026797,          1.9787e-05,          3.9198e-06,            0.090815,           0.0091992,            0.069042,            0.059499,           0.0044991,           0.0044991
                  46,             0.07347,            0.023454,            0.069119,          2.8809e-05,            0.033551,          2.3386e-05,          6.4074e-06,            0.092038,           0.0091406,            0.069008,            0.058599,            0.004599,            0.004599
